resume_id,score,coverage,decision
2220,35.7,0.73,Rejected
1304,33.36,0.73,Rejected
738,32.75,0.67,Rejected
1264,32.6,0.73,Rejected
259,31.96,0.73,Rejected
331,31.23,0.6,Rejected
2252,30.9,0.67,Rejected
1802,30.74,0.67,Rejected
1327,30.7,0.67,Rejected
254,30.46,0.67,Rejected
225,30.39,0.67,Rejected
1356,30.29,0.67,Rejected
1799,30.27,0.67,Rejected
707,30.13,0.6,Rejected
1803,30.1,0.6,Rejected
929,29.97,0.6,Rejected
311,29.94,0.6,Rejected
309,29.54,0.6,Rejected
1762,29.51,0.6,Rejected
276,29.51,0.6,Rejected
199,29.39,0.67,Rejected
1251,29.31,0.67,Rejected
1790,29.18,0.6,Rejected
1176,29.13,0.6,Rejected
963,29.09,0.53,Rejected
268,29.06,0.53,Rejected
2111,29.03,0.67,Rejected
1720,29.02,0.6,Rejected
228,28.97,0.6,Rejected
1595,28.92,0.6,Rejected
987,28.86,0.67,Rejected
1754,28.8,0.6,Rejected
1165,28.77,0.67,Rejected
1712,28.75,0.6,Rejected
2235,28.66,0.6,Rejected
522,28.57,0.6,Rejected
1707,28.5,0.67,Rejected
1161,28.48,0.67,Rejected
315,28.33,0.6,Rejected
301,28.21,0.67,Rejected
316,28.17,0.6,Rejected
731,28.14,0.67,Rejected
234,28.11,0.67,Rejected
1641,27.97,0.6,Rejected
977,27.96,0.67,Rejected
209,27.91,0.6,Rejected
196,27.86,0.6,Rejected
1952,27.82,0.6,Rejected
1736,27.73,0.53,Rejected
137,27.68,0.6,Rejected
627,27.59,0.6,Rejected
662,27.44,0.53,Rejected
213,27.37,0.6,Rejected
265,27.36,0.6,Rejected
1307,27.36,0.6,Rejected
1661,27.36,0.6,Rejected
2395,27.36,0.6,Rejected
154,27.36,0.53,Rejected
1698,27.34,0.53,Rejected
1985,27.3,0.6,Rejected
2190,27.29,0.6,Rejected
2410,27.26,0.6,Rejected
2200,27.24,0.47,Rejected
774,27.23,0.53,Rejected
628,27.21,0.6,Rejected
144,27.2,0.53,Rejected
291,27.14,0.6,Rejected
1941,27.09,0.6,Rejected
267,27.08,0.6,Rejected
282,27.07,0.6,Rejected
1775,27.03,0.53,Rejected
2225,27.02,0.6,Rejected
1714,26.97,0.6,Rejected
1731,26.96,0.53,Rejected
2191,26.95,0.53,Rejected
2202,26.95,0.6,Rejected
1972,26.9,0.6,Rejected
2199,26.89,0.53,Rejected
294,26.88,0.6,Rejected
1960,26.87,0.6,Rejected
1257,26.85,0.6,Rejected
284,26.78,0.6,Rejected
1239,26.77,0.6,Rejected
1185,26.74,0.6,Rejected
132,26.7,0.6,Rejected
735,26.61,0.53,Rejected
714,26.61,0.6,Rejected
1788,26.58,0.53,Rejected
330,26.56,0.6,Rejected
941,26.54,0.6,Rejected
195,26.53,0.6,Rejected
2474,26.51,0.6,Rejected
2026,26.48,0.53,Rejected
214,26.43,0.53,Rejected
596,26.39,0.6,Rejected
